OBJECTID,METER_ID,VENDOR,PAY_POLICY,PARK_NO_PAY,TOW_AWAY,BLK_NO,STREET,LONGITUDE,LATITUDE,G_DISTRICT,G_SUBZONE,G_ZONE,BASE_RATE
2203,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074455,42.34664,DISTRICT 0,0CD,CD,0.25
2204,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074525,42.346583,DISTRICT 0,0CD,CD,0.25
2205,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074595,42.346527,DISTRICT 0,0CD,CD,0.25
2206,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074664,42.346471,DISTRICT 0,0CD,CD,0.25
2207,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074734,42.346414,DISTRICT 0,0CD,CD,0.25
2208,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CLAR,COLUMBUS AV,-71.074804,42.346358,DISTRICT 0,0CD,CD,0.25
2209,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074858,42.346034,DISTRICT 0,0CD,CD,0.25
2210,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.07478,42.346098,DISTRICT 0,0CD,CD,0.25
2211,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074702,42.346161,DISTRICT 0,0CD,CD,0.25
2212,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074624,42.346225,DISTRICT 0,0CD,CD,0.25
2213,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074546,42.346289,DISTRICT 0,0CD,CD,0.25
2214,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074467,42.346352,DISTRICT 0,0CD,CD,0.25
2215,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074389,42.346416,DISTRICT 0,0CD,CD,0.25
2216,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074311,42.34648,DISTRICT 0,0CD,CD,0.25
2217,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,CHAN,COLUMBUS AV,-71.074233,42.346543,DISTRICT 0,0CD,CD,0.25
